MemberEventKey,MemberID,ProgramCode,ProgramDate,ParticipationStatus,Rank,CorrectedRank,RankCode,Promotion,PromotionFrom,PromotionTo,InterestBadges,Advancements,PCode,FullCode,ImageFile
C0022|P0001,C0022,P0001,2017-07-28,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0022|P0002,C0022,P0002,2017-08-04,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0003,C0022,P0003,2017-08-11,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0004,C0022,P0004,2017-08-18,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0005,C0022,P0005,2017-08-25,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0006,C0022,P0006,2017-09-01,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0007,C0022,P0007,2017-09-08,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0008,C0022,P0008,2017-09-15,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0009,C0022,P0009,2017-09-16,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0010,C0022,P0010,2017-10-13,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0011,C0022,P0011,2017-10-20,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0012,C0022,P0012,2017-10-21,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0013,C0022,P0013,2017-10-27,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0022|P0014,C0022,P0014,2017-10-28,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0022|P0015,C0022,P0015,2017-11-03,1,Member,Member,R02,,,,"IB055,IB061",,"IB055,IB061","R02,IB055,IB061",R02_IB055_IB061.png
C0022|P0016,C0022,P0016,2017-11-10,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0017,C0022,P0017,2017-11-17,1,Member,Member,R02,,,,IB027,,IB027,"R02,IB027",R02_IB027.png
C0022|P0018,C0022,P0018,2017-11-24,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0022|P0020,C0022,P0020,2018-01-26,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0021,C0022,P0021,2018-02-02,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0022,C0022,P0022,2018-02-09,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0023,C0022,P0023,2018-02-10,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0022|P0024,C0022,P0024,2018-02-16,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0025,C0022,P0025,2018-02-23,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0026,C0022,P0026,2018-02-25,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0027,C0022,P0027,2018-03-02,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0028,C0022,P0028,2018-03-09,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0029,C0022,P0029,2018-03-16,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0030,C0022,P0030,2018-03-23,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0031,C0022,P0031,2018-04-20,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0022|P0032,C0022,P0032,2018-05-04,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0033,C0022,P0033,2018-05-11,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0022|P0034,C0022,P0034,2018-05-18,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0022|P0036,C0022,P0036,2018-05-25,1,Member,Member,R02,,,,IB037,,IB037,"R02,IB037",R02_IB037.png
C0022|P0037,C0022,P0037,2018-06-01,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0039,C0022,P0039,2018-06-08,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0040,C0022,P0040,2018-06-15,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0041,C0022,P0041,2018-06-22,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0042,C0022,P0042,2018-07-27,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0043,C0022,P0043,2018-08-03,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0022|P0044,C0022,P0044,2018-08-17,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0022|P0045,C0022,P0045,2018-08-18,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0046,C0022,P0046,2018-08-24,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0047,C0022,P0047,2018-08-31,1,Member,Member,R02,,,,IB028,,IB028,"R02,IB028",R02_IB028.png
C0022|P0048,C0022,P0048,2018-09-08,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0049,C0022,P0049,2018-09-09,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0050,C0022,P0050,2018-09-14,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0052,C0022,P0052,2018-10-06,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0053,C0022,P0053,2018-10-12,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0054,C0022,P0054,2018-10-19,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0055,C0022,P0055,2018-10-20,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0022|P0056,C0022,P0056,2018-10-26,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0057,C0022,P0057,2018-11-02,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0022|P0058,C0022,P0058,2018-11-03,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0059,C0022,P0059,2018-11-09,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0060,C0022,P0060,2018-11-16,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0061,C0022,P0061,2018-11-23,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0063,C0022,P0063,2019-01-18,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0064,C0022,P0064,2019-01-19,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0022|P0065,C0022,P0065,2019-01-25,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0066,C0022,P0066,2019-02-01,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0067,C0022,P0067,2019-02-08,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0068,C0022,P0068,2019-02-16,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0069,C0022,P0069,2019-02-17,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0070,C0022,P0070,2019-02-22,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0022|P0071,C0022,P0071,2019-02-24,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0022|P0072,C0022,P0072,2019-03-01,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0074,C0022,P0074,2019-03-08,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0075,C0022,P0075,2019-04-12,1,Member,Member,R02,,,,IB021,,IB021,"R02,IB021",R02_IB021.png
C0022|P0076,C0022,P0076,2019-04-26,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0022|P0077,C0022,P0077,2019-05-03,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0022|P0078,C0022,P0078,2019-05-04,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0022|P0079,C0022,P0079,2019-05-10,1,Second,Second,R03,Member → Second,Member,Second,,,Second,"R03,Second",R03_Second.png
C0022|P0080,C0022,P0080,2019-05-17,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0022|P0082,C0022,P0082,2019-05-24,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0022|P0083,C0022,P0083,2019-05-31,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0022|P0084,C0022,P0084,2019-06-07,1,Second,Second,R03,,,,IB057,,IB057,"R03,IB057",R03_IB057.png
C0022|P0086,C0022,P0086,2019-07-13,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0022|P0087,C0022,P0087,2019-07-19,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0022|P0088,C0022,P0088,2019-07-26,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0022|P0089,C0022,P0089,2019-08-02,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0022|P0090,C0022,P0090,2019-08-16,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0022|P0091,C0022,P0091,2019-08-23,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0022|P0092,C0022,P0092,2019-08-24,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0022|P0093,C0022,P0093,2019-08-25,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0022|P0094,C0022,P0094,2019-08-30,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0022|P0095,C0022,P0095,2019-09-06,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0022|P0096,C0022,P0096,2019-09-13,1,Second,Second,R03,,,,,AD005,AD005,"R03,AD005",R03_AD005.png
C0022|P0097,C0022,P0097,2019-09-20,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0022|P0098,C0022,P0098,2019-09-28,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0022|P0099,C0022,P0099,2019-10-11,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0022|P0100,C0022,P0100,2019-10-18,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0022|P0101,C0022,P0101,2019-10-19,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0022|P0102,C0022,P0102,2019-10-19,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0022|P0103,C0022,P0103,2019-10-25,1,Second,Second,R03,,,,,AD004,AD004,"R03,AD004",R03_AD004.png
C0022|P0104,C0022,P0104,2019-11-01,0,Second,Second,R03,,,,,,0,"R03,0",R03_0.png
C0022|P0105,C0022,P0105,2019-11-08,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0022|P0106,C0022,P0106,2019-11-15,1,Second,Second,R03,,,,,,Tick,"R03,Tick",R03_Tick.png
C0023|P0001,C0023,P0001,2017-07-28,0,Member,Member,R02,,,,,,0,"R02,0",R02_0.png
C0023|P0002,C0023,P0002,2017-08-04,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0003,C0023,P0003,2017-08-11,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0004,C0023,P0004,2017-08-18,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
C0023|P0005,C0023,P0005,2017-08-25,1,Member,Member,R02,,,,,,Tick,"R02,Tick",R02_Tick.png
